x86,arm,code
55 4889e5 4883ec10,a9be7bfd 910003fd,"{
"
bf04204000 e8d8feffff,90000000 911da000 97ffffb2,"    printf(""Enter a lowercase character :\n"");
"
488d45fb 4889c6 bf22204000 b800000000 e8e2feffff,91006fe0 aa0003e1 90000000 911e2000 97ffffb1,"    scanf(""%c"", &ch);
"
0fb645fb 0fbec0 83e820 8945fc,39406fe0 51008000 b9001fe0,"    no = ch-32;
"
8b45fc 89c6 bf25204000 b800000000 e8b1feffff,b9401fe1 90000000 911e4000 97ffffae,"    printf(""Letter in capital  : %c"", no);
"
b800000000,52800000,"    return 0;
"
c9 c3 662e0f1f840000000000,a8c27bfd d65f03c0,"}
"
55 4889e5 897dec,d10083ff b9000fe0,"{
"
c745fc00000000,b9001fff,"	int first = 0; 
"
c745f801000000,52800020 b9001be0,"	int second = 1;
"
c745f400000000,b90017ff,"	int current = 0;
"
c745f002000000 eb44 8345f001 8b45f0 3b45ec 7eb4,52800040 b90013e0 14000018 b94013e0 11000400 b90013e0 b94013e1 b9400fe0 6b00003f 54fffccd,"	for (int i = 2; i <= index; ++i) {
"
8b55fc 8b45f8 01c2 4863c2 4869c067666666 48c1e820 c1f802 89d1 c1f91f 29c8 8945f4 8b4df4 89c8 c1e002 01c8 01c0 29c2 8955f4,b9401fe1 b9401be0 0b000021 528ccce0 72acccc0 9b207c20 d360fc00 13027c02 131f7c20 4b000042 2a0203e0 531e7400 0b020000 531f7800 4b000020 b90017e0,"		current = (first + second) % 10;
"
8b45f8 8945fc,b9401be0 b9001fe0,"		first = second;
"
8b45f4 8945f8,b94017e0 b9001be0,"		second = current;
"
8b45f4,b94017e0,"	return (current);
"
5d c3,910083ff d65f03c0,"}
"
55 4889e5 4883ec30 897ddc,a9bc7bfd 910003fd b9001fe0,"{
"
8b45dc 83c001 4898 48c1e002 4889c7 e865feffff 488945f0,b9401fe0 11000400 93407c00 d37ef400 97ffff80 f9001be0,"	arr = (int *)malloc((index+1) * sizeof(int));
"
488b45f0 c70000000000,f9401be0 b900001f,"	arr[0] = 0;
"
488b45f0 4883c004 c70001000000,f9401be0 91001000 52800021 b9000001,"	arr[1] = 1;
"
c745fc02000000 eb71 8345fc01 8b45fc 3b45dc 7e87,52800040 b9003fe0 14000022 b9403fe0 11000400 b9003fe0 b9403fe1 b9401fe0 6b00003f 54fffb8d,"	for (int i = 2; i <= index; ++i) { // store only the last digit of each index
"
8b45fc 4898 48c1e002 488d50fc 488b45f0 4801d0 8b10 8b45fc 4898 48c1e002 488d48f8 488b45f0 4801c8 8b00 8d0c02 8b45fc 4898 488d148500000000 488b45f0 488d3402 4863c1 4869c067666666 48c1e820 89c2 c1fa02 89c8 c1f81f 29c2 89d0 c1e002 01d0 01c0 29c1 89ca 8916,b9803fe0 d37ef400 d1001000 f9401be1 8b000020 b9400001 b9803fe0 d37ef400 d1002000 f9401be2 8b000040 b9400000 0b000022 b9803fe0 d37ef400 f9401be1 8b000023 528ccce0 72acccc0 9b207c40 d360fc00 13027c01 131f7c40 4b000021 2a0103e0 531e7400 0b010000 531f7800 4b000041 b9000061,"		arr[i] = (arr[i - 1] + arr[i - 2]) % 10;
"
8b45dc 4898 488d148500000000 488b45f0 4801d0 8b00 8945ec,b9801fe0 d37ef400 f9401be1 8b000020 b9400000 b9002fe0,"	int res = arr[index];
"
8b45ec,b9402fe0,"	return (res);
"
c9 c3,a8c47bfd d65f03c0,"}
"
55 4889e5 4883ec20 897dec 488975e0,a9bd7bfd 910003fd b9001fe0 f9000be1,"{
"
c745fc00000000,b9002fff,"	int index = 0;
"
488d45fc 4889c6 bf04204000 b800000000 e88dfdffff,9100b3e0 aa0003e1 90000000 91240000 97ffff4a,"	scanf(""%d"", &index);
"
8b45fc 89c7 e879feffff 89c6 bf07204000 b800000000 e852fdffff,b9402fe0 97ffff8e 2a0003e1 90000000 91242000 97ffff48,"	printf(""%d\n"", last_digit_fib_optimized(index));
"
b800000000,52800000,"	return 0;
"
c9 c3 662e0f1f840000000000 90,a8c37bfd d65f03c0,}
55 4889e5 4883ec10 897dfc,a9be7bfd 910003fd b9001fe0,"void printFibonacci(int n){
"
837dfc00 7e50,b9401fe0 7100001f 5400042d,"    if(n>0){
"
8b15f32e0000 8b05e52e0000 01d0 8905e92e0000,b0000080 91010000 b9400001 b0000080 9100e000 b9400000 0b000021 b0000080 91011000 b9000001,"         n3 = n1 + n2;
"
8b05d72e0000 8905d92e0000,b0000080 9100e000 b9400001 b0000080 91010000 b9000001,"         n1 = n2;
"
8b05d72e0000 8905c52e0000,b0000080 91011000 b9400001 b0000080 9100e000 b9000001,"         n2 = n3;
"
8b05cb2e0000 89c6 bf08204000 b800000000 e8a6feffff,b0000080 91011000 b9400000 2a0003e1 90000000 911f6000 97ffff98,"         printf(""%d "",n3);
"
8b45fc 83e801 89c7 e89fffffff,b9401fe0 51000400 97ffffdb,"         printFibonacci(n-1);
"
90 c9 c3,d503201f a8c27bfd d65f03c0,"}
"
55 4889e5 4883ec10,a9be7bfd 910003fd,"int main(){
"
